KYONI,쿄니,LOCK N LOL,Locking,https://www.instagram.com/lipfunk_kyoni/
Sinvy,신예린,,House,https://www.instagram.com/sinvvy__/
Copa,채종현,,Popping,https://www.instagram.com/dancer_copa
Fihz,서동희,,"B-boy, Hiphop",https://www.instagram.com/fihzfihz/
Piki,은서,Color,,https://www.instagram.com/somoon_piki/
Siri,최창협,BASEUS,B-boy,https://www.instagram.com/siri_.b/
Steel8,정수진,"maxcrew, BREAKPOINTS",B-girl,https://www.instagram.com/steel8___/
정도,정도,,Locking,https://www.instagram.com/king_bk05/
최규연,최규연,,Popping,https://www.instagram.com/i_seul_04/
김준영,김준영,Unlimited,House,https://www.instagram.com/znyuung__ulmtd/
R,장유석,,Krump,https://www.instagram.com/am.eman.si.r/
RYU,류,,Popping,https://www.instagram.com/l_like__ryu/
TEMA,테마,CTRL,Waacking,https://www.instagram.com/temaisme/
조수미,조수미,,Locking,https://www.instagram.com/locking_jo_sumi/
LEGO,LEGO,A.O team,Hiphop,https://www.instagram.com/lego_ao/
서준영,서준영,,Popping,https://www.instagram.com/junch1_/
Tazaki,안상규,Break ambition,B-boy,https://www.instagram.com/bboytazaki
Inhook,조인후,Break ambition,B-boy,https://www.instagram.com/inhook_
Jihoon,장지훈,Break ambition,B-boy,https://www.instagram.com/jihoon.reg
Lilky,박준영,JINJO,B-boy,https://www.instagram.com/jinjolilky/
Physicx,김효근,"Rivers crew, Brother green",B-boy,https://www.instagram.com/physicx_rvs/?g=5
A2Z,A2Z,Brother green,B-boy,
Darius,다리우스,,B-boy,https://www.instagram.com/bboy_darius/
Rookie,루키,Flowxl,B-boy,https://www.instagram.com/rawkeyz/
고아라,고아라,,Hiphop,https://www.instagram.com/kncklsandwich/
조영빈,조영빈,fanzed crew,Hiphop,https://www.instagram.com/inmountboy/
Jimin,안지민,K.L.W.C,Waacking,https://www.instagram.com/jm.thx/
Yoon K,박윤,,Locking,https://www.instagram.com/yoonk_day/
Hongsy,홍시,,Locking,https://www.instagram.com/hong_sy_life/
김건우,김건우,,Locking,https://www.instagram.com/kgw_insta/
POPCORN,박지민,,Popping,https://www.instagram.com/thesalted__/
kriss,크리스,,Popping,
Crowe,조철현,,House,https://www.instagram.com/croweworc/
IMP,김민석,,Krump,https://www.instagram.com/imp__kr/
Jaeho,안재호,"Sikgu, About crew",Hiphop,https://www.instagram.com/jaehointhezone/
Dove,신은휘,Focus,Hiphop,https://www.instagram.com/acid_dove/
COMA,윤현민,MUSU,Krump,https://www.instagram.com/coma_x_liveness/
Cuckoo,이지수,,Waacking,https://www.instagram.com/lee.cuckoo/
Becky,박가영,,Hiphop,https://www.instagram.com/becky_fvp/
POPPIN'SON,SON,,Popping,
Lunatic,배영수,Fusionmc,B-boy,https://www.instagram.com/breaklunatic/
NEMA,네마,Color,Hiphop,https://www.instagram.com/nema_astr0/
Mooreup,임승민,hanya,Hiphop,https://www.instagram.com/mooreup_hanya/
Bam,노희범,CAY CREW,B-boy,https://www.instagram.com/heebam98
Magang,김현준,,B-boy,https://www.instagram.com/mapo_gangstar
김서윤,김서윤,,Locking,https://www.instagram.com/yoonseomik
Fullbloom,김기재,,House,https://www.instagram.com/be_in.fullbloom/
Jibak,박지선,odd house,House,https://www.instagram.com/jibak__
Miqq,miqq,Platon crew,B-boy,https://www.instagram.com/dj_miqq/
해수,해수,,Hiphop,https://www.instagram.com/haxxsoo/?g=5
ODI,오디,,Waacking,https://www.instagram.com/odi_heart_/
곽주연,곽주연,,Locking,https://www.instagram.com/hyosun827/
